Bandit,Reward,Algorithm
353,3,epsilon_greedy
354,3,epsilon_greedy
355,3,epsilon_greedy
356,3,epsilon_greedy
357,3,epsilon_greedy
358,3,epsilon_greedy
359,3,epsilon_greedy
360,3,epsilon_greedy
361,3,epsilon_greedy
362,3,epsilon_greedy
363,3,epsilon_greedy
364,3,epsilon_greedy
365,3,epsilon_greedy
366,3,epsilon_greedy
367,3,epsilon_greedy
368,3,epsilon_greedy
369,3,epsilon_greedy
370,3,epsilon_greedy
371,3,epsilon_greedy
372,3,epsilon_greedy
373,3,epsilon_greedy
374,3,epsilon_greedy
375,3,epsilon_greedy
376,3,epsilon_greedy
377,3,epsilon_greedy
378,3,epsilon_greedy
379,3,epsilon_greedy
380,3,epsilon_greedy
381,3,epsilon_greedy
382,3,epsilon_greedy
383,3,epsilon_greedy
384,3,epsilon_greedy
385,3,epsilon_greedy
386,3,epsilon_greedy
387,3,epsilon_greedy
388,3,epsilon_greedy
389,3,epsilon_greedy
390,3,epsilon_greedy
391,3,epsilon_greedy
392,3,epsilon_greedy
393,3,epsilon_greedy
394,3,epsilon_greedy
395,3,epsilon_greedy
396,3,epsilon_greedy
397,3,epsilon_greedy
398,3,epsilon_greedy
399,3,epsilon_greedy
400,3,epsilon_greedy
401,3,epsilon_greedy
402,3,epsilon_greedy
403,3,epsilon_greedy
404,3,epsilon_greedy
405,3,epsilon_greedy
406,3,epsilon_greedy
407,3,epsilon_greedy
408,3,epsilon_greedy
409,3,epsilon_greedy
410,3,epsilon_greedy
411,3,epsilon_greedy
412,3,epsilon_greedy
413,3,epsilon_greedy
414,3,epsilon_greedy
415,3,epsilon_greedy
416,3,epsilon_greedy
417,3,epsilon_greedy
418,3,epsilon_greedy
419,3,epsilon_greedy
420,3,epsilon_greedy
421,3,epsilon_greedy
422,3,epsilon_greedy
423,3,epsilon_greedy
424,3,epsilon_greedy
425,3,epsilon_greedy
426,3,epsilon_greedy
427,3,epsilon_greedy
428,3,epsilon_greedy
429,3,epsilon_greedy
430,3,epsilon_greedy
431,3,epsilon_greedy
432,3,epsilon_greedy
